Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
Pozuelo;26;Spain;KRC Genk;€12M;Right;Centrocampista;24;83;62;57;76;52;62
A. Trebel;27;France;RSC Anderlecht;€11.5M;Left;Centrocampista;25;77;79;75;77;80;74
J. Lascelles;24;England;Newcastle United;€12M;Right;Defensa;6;65;60;63;67;83;76
T. Kongolo;24;Netherlands;Huddersfield Town;€12M;Left;Defensa;5;72;72;74;71;75;76
A. Carrillo;27;Peru;Al Hilal;€11M;Right;Centrocampista;19;82;86;86;80;53;34
Álvaro;28;Spain;Villarreal CF;€9.5M;Right;Defensa;3;67;72;73;68;89;79
G. Defrel;27;France;Sampdoria;€11M;Left;Delantero;92;82;88;87;82;53;37
Fernando;26;Brazil;Spartak Moscow;€11M;Right;Centrocampista;11;76;70;76;74;80;80
V. Darida;27;Czech Republic;Hertha BSC;€10.5M;Right;Centrocampista;19;81;70;65;82;56;69
R. Saponara;26;Italy;Sampdoria;€12.5M;Right;Centrocampista;5;85;69;75;72;52;30
Pedro Mendes;27;Portugal;Montpellier HSC;€10M;Right;Defensa;5;63;66;63;55;81;80
C. Schindler;28;Germany;Huddersfield Town;€10M;Right;Defensa;26;68;60;65;56;76;81
N. Chadli;28;Belgium;AS Monaco;€10.5M;Right;Centrocampista;22;80;74;78;65;59;43
Arbilla;31;Spain;SD Eibar;€7M;Right;Defensa;23;76;55;70;60;84;77
L. Dunk;26;England;Brighton & Hove Albion;€11M;Right;Defensa;5;68;38;50;47;80;78
P. Hernández;31;Chile;Independiente;€9M;Left;Centrocampista;19;79;69;67;70;85;75
J. Guidetti;26;Sweden;Deportivo Alavés;€13M;Right;Delantero;17;77;65;65;64;75;34
Sergi Gómez;26;Spain;Sevilla FC;€11.5M;Right;Defensa;3;75;46;44;52;70;81
Oriol Romeu;26;Spain;Southampton;€10.5M;Right;Centrocampista;14;72;53;48;54;88;80
Lucas Pérez;29;Spain;West Ham United;€10.5M;Left;Delantero;27;80;76;78;70;67;38
B. Natcho;30;Israel;Olympiacos CFP;€9.5M;Right;Centrocampista;6;81;57;66;76;71;72
Cláudio Ramos;26;Portugal;CD Tondela;€9.5M;Right;Portero;1;20;50;54;65;27;21
F. Lejeune;27;France;Newcastle United;€10M;Right;Defensa;20;73;42;52;55;81;81
G. Krychowiak;28;Poland;Lokomotiv Moscow;€9.5M;Right;Centrocampista;10;77;61;68;59;80;76
N. Lodeiro;29;Uruguay;Seattle Sounders FC;€10M;Left;Centrocampista;7;81;71;68;78;66;42
O. Özyakup;25;Turkey;Be?ikta? JK;€13M;Right;Centrocampista;8;80;71;72;88;75;66
C. Tévez;34;Argentina;Boca Juniors;€5M;Right;Centrocampista;32;77;73;70;76;77;34
K. Papadopoulos;26;Greece;Hamburger SV;€10.5M;Right;Defensa;9;52;60;59;53;92;64
M. Gradel;30;Ivory Coast;Toulouse Football Club;€10M;Right;Centrocampista;15;81;85;84;83;59;51
M. Debuchy;32;France;AS Saint-Étienne;€5.5M;Right;Lateral;26;75;74;73;74;79;76
V. Moses;27;Nigeria;Chelsea;€11M;Right;Centrocampista;15;81;79;77;76;62;73
Z. Junuzovi?;30;Austria;FC Red Bull Salzburg;€9.5M;Right;Centrocampista;16;80;76;69;86;76;75
Granero;30;Spain;RCD Espanyol;€9.5M;Right;Centrocampista;23;80;55;50;68;72;74
J. Baumgartlinger;30;Austria;Bayer 04 Leverkusen;€7.5M;Right;Centrocampista;14;74;68;71;65;84;77
Fábio Coentrão;30;Portugal;Rio Ave FC;€10M;Left;Centrocampista;17;79;77;75;76;81;76
B. Costil;30;France;FC Girondins de Bordeaux;€6.5M;Right;Portero;1;12;49;53;38;22;22
Hilton;40;Brazil;Montpellier HSC;€ 0;Right;Defensa;4;73;33;38;51;76;79
N. Gudelj;26;Serbia;Sporting CP;€10.5M;Right;Centrocampista;86;75;59;65;62;83;74
L. Pratto;30;Argentina;River Plate;€10M;Right;Delantero;27;76;66;72;67;78;47
E. Hernández;30;Mexico;Cruz Azul;€10M;Right;Centrocampista;11;83;74;77;80;39;42
Jurado;32;Spain;Al Ahli;€8M;Right;Centrocampista;10;79;71;67;80;46;40
R. Cabella;28;France;AS Saint-Étienne;€10.5M;Right;Centrocampista;7;80;83;77;91;47;56
Rafael Tolói;27;Brazil;Atalanta;€10M;Right;Defensa;2;66;66;68;63;78;82
C. Bravo;35;Chile;Manchester City;€2.4M;Right;Portero;1;41;58;54;63;40;23
Hernanes;33;Brazil;Hebei China Fortune FC;€6M;Right;Centrocampista;10;79;64;59;72;54;70
K. Honda;32;Japan;Melbourne Victory;€8M;Left;Centrocampista;4;84;76;76;75;48;44
J. Holebas;34;Greece;Watford;€2.9M;Left;Lateral;25;77;74;76;71;89;71
Javi García;31;Spain;Real Betis;€7M;Right;Centrocampista;3;77;62;62;62;86;78
Sergio;31;Spain;RC Celta;€6.5M;Right;Portero;1;21;44;43;50;34;15
M. Cáceres;31;Uruguay;Lazio;€7M;Right;Defensa;22;66;76;78;79;78;80
Daniel Carriço;29;Portugal;Sevilla FC;€8M;Right;Defensa;6;64;47;54;60;85;76
J. Cork;29;England;Burnley;€10M;Right;Centrocampista;4;79;57;54;63;80;79
J. Tomkins;29;England;Crystal Palace;€9M;Right;Defensa;5;59;41;49;47;80;78
Guilherme;32;Russia;Lokomotiv Moscow;€6M;Right;Portero;20;21;37;40;54;35;21
Gervinho;31;Ivory Coast;Parma;€9M;Right;Centrocampista;10;78;91;90;88;51;39
J. Shelvey;26;England;Newcastle United;€12.5M;Right;Centrocampista;8;76;63;63;62;84;63
R. Eremenko;31;Finland;Spartak Moscow;€9M;Right;Centrocampista;26;80;69;68;70;63;46
R. Vormer;30;Netherlands;Club Brugge KV;€9.5M;Right;Centrocampista;25;72;67;60;64;79;76
J. Lens;30;Netherlands;Be?ikta? JK;€10M;Right;Centrocampista;17;78;90;90;75;53;23
Adriano;33;Brazil;Be?ikta? JK;€4M;Left;Lateral;3;82;77;73;77;75;78
S. Cook;27;England;Bournemouth;€8.5M;Right;Defensa;3;67;55;53;55;79;78
L. Podolski;33;Germany;Vissel Kobe;€6.5M;Left;Delantero;10;78;76;75;67;70;36
C. Ansaldi;31;Argentina;Torino;€7M;Left;Centrocampista;15;79;75;76;79;78;75
Manu García;32;Spain;Deportivo Alavés;€6M;Left;Centrocampista;19;75;46;61;66;90;79
R. Alessandrini;29;France;LA Galaxy;€10M;Left;Centrocampista;7;79;87;90;93;73;33
J. Ward-Prowse;23;England;Southampton;€12M;Right;Centrocampista;16;82;66;57;75;67;65
M. Harnik;31;Austria;SV Werder Bremen;€8M;Right;Delantero;9;71;75;76;69;72;39
B. Moukandjo;29;Cameroon;Beijing Renhe FC;€9M;Right;Centrocampista;38;75;91;93;83;51;32
G. Pereiro;23;Uruguay;PSV;€12M;Left;Centrocampista;16;83;72;75;74;57;30
G. Castro;31;Germany;VfB Stuttgart;€7.5M;Right;Centrocampista;8;78;70;65;80;64;76
Aarón Martín;21;Spain;1. FSV Mainz 05;€11M;Left;Lateral;3;75;76;69;68;60;78
F. Johnson;30;United States;Borussia Mönchengladbach;€8.5M;Right;Centrocampista;19;76;78;79;73;71;65
L. López;28;Argentina;Genoa;€7M;Right;Defensa;5;62;64;66;64;79;79
M. Dossevi;30;Togo;Toulouse Football Club;€8.5M;Right;Centrocampista;14;77;80;80;76;45;32
Caiuby;29;Brazil;FC Augsburg;€8.5M;Right;Centrocampista;30;74;77;87;73;73;49
Gabriel;24;Brazil;SL Benfica;€11.5M;Left;Centrocampista;8;82;67;51;65;73;71
Iván Ramis;33;Spain;SD Eibar;€3.6M;Right;Defensa;4;70;34;35;52;84;77
M. Suchý;30;Czech Republic;FC Basel 1893;€6.5M;Right;Defensa;17;65;63;67;65;72;74
T. Vilhena;23;Netherlands;Feyenoord;€11.5M;Left;Centrocampista;20;80;75;72;75;84;75
E. Çolak;27;Turkey;Al Wehda;€9.5M;Left;Centrocampista;5;80;71;68;82;52;45
V. Germain;28;France;Olympique de Marseille;€9M;Right;Delantero;28;75;75;77;91;65;44
G. Hoarau;34;France;BSC Young Boys;€4.7M;Right;Delantero;99;72;45;51;68;63;34
Sergio García;35;Spain;RCD Espanyol;€4.1M;Right;Centrocampista;9;78;68;69;66;61;29
E. Choupo-Moting;29;Cameroon;Paris Saint-Germain;€9M;Right;Delantero;11;80;76;78;76;55;40
J. Pinola;35;Argentina;River Plate;€2.1M;Left;Defensa;22;65;68;70;65;82;74
J. Hendrix;23;Netherlands;PSV;€10M;Left;Centrocampista;8;75;72;69;73;80;78
J. Izquierdo;25;Colombia;Brighton & Hove Albion;€10.5M;Right;Centrocampista;19;78;92;90;91;27;37
S. Sydorchuk;27;Ukraine;Dynamo Kyiv;€10M;Right;Centrocampista;5;77;68;65;57;54;79
C. Grenier;27;France;Stade Rennais FC;€10M;Right;Centrocampista;8;81;55;58;62;63;62
T. Strobl;28;Germany;Borussia Mönchengladbach;€7M;Right;Centrocampista;5;58;51;55;48;83;80
V. Odjidja-Ofoe;29;Belgium;KAA Gent;€8.5M;Right;Centrocampista;8;78;59;62;52;75;65
N. Guzmán;32;Argentina;Tigres U.A.N.L.;€5M;Right;Portero;1;25;51;52;70;33;29
F. Fabra;27;Colombia;Boca Juniors;€8M;Left;Lateral;18;76;86;88;85;72;72
J. Maddison;21;England;Leicester City;€13M;Right;Centrocampista;22;82;77;74;85;56;45
K. El Ahmadi;33;Morocco;Al Ittihad;€3.6M;Right;Centrocampista;20;76;65;63;74;83;75
M. Carcela-González;29;Morocco;Standard de Liège;€8.5M;Left;Centrocampista;10;81;90;80;89;47;39
M. Gabbiadini;26;Italy;Southampton;€10.5M;Left;Delantero;20;79;67;70;70;57;18
Gomes;37;Brazil;Watford;€600K;Right;Portero;1;25;50;52;56;40;20
M. Ritchie;28;Scotland;Newcastle United;€9M;Left;Centrocampista;11;76;75;73;71;73;49
G. Bou;28;Argentina;Racing Club;€9M;Right;Delantero;7;77;78;78;74;52;39
Javi Fuego;34;Spain;Villarreal CF;€2.7M;Right;Centrocampista;18;70;53;42;64;82;82
E. Akbaba;25;Turkey;Galatasaray SK;€11M;Left;Centrocampista;20;77;73;77;76;64;51
J. Amavi;24;France;Olympique de Marseille;€10M;Left;Lateral;18;76;78;80;75;72;73
R. Malinovskyi;25;Ukraine;KRC Genk;€11.5M;Left;Centrocampista;18;78;69;73;71;72;62
D. Welbeck;27;England;Arsenal;€9.5M;Right;Centrocampista;21;78;76;83;76;75;32
G. Conti;23;Argentina;SL Benfica;€10.5M;Right;Defensa;2;53;64;72;51;76;75
Bruno;28;Spain;Getafe CF;€8M;Right;Defensa;4;68;32;35;31;81;78
Garry Rodrigues;27;Cape Verde;Galatasaray SK;€9.5M;Right;Centrocampista;7;75;89;90;91;70;44
A. Schwolow;26;Germany;SC Freiburg;€7M;Right;Portero;1;22;36;38;40;26;13
L. Cook;21;England;Bournemouth;€12.5M;Right;Centrocampista;16;80;74;68;75;79;69
P. Pérez;32;Argentina;Boca Juniors;€6.5M;Right;Centrocampista;8;79;69;69;72;92;72
Gazzolisco;30;Brazil;Internacional;€6.5M;Left;Lateral;19;72;81;82;67;94;67
Jonatan Soriano;32;Spain;Beijing Sinobo Guoan FC;€7M;Right;Delantero;9;78;67;53;79;58;45
Rubén Peña;26;Spain;SD Eibar;€8.5M;Right;Lateral;11;79;81;88;83;61;72
Mikel San José;29;Spain;Athletic Club de Bilbao;€8.5M;Right;Centrocampista;6;75;33;38;41;76;80
P. Groß;27;Germany;Brighton & Hove Albion;€10M;Right;Centrocampista;13;77;63;65;66;66;67
L. Baines;33;England;Everton;€3.4M;Left;Lateral;3;80;66;59;69;74;77
A. Ogbonna;30;Italy;West Ham United;€6.5M;Left;Defensa;21;59;59;64;57;72;80
Juan Jesus;27;Brazil;Roma;€7.5M;Left;Defensa;5;55;76;78;68;88;77
J. Martínez;31;Colombia;Portimonense SC;€8M;Right;Delantero;9;75;72;67;72;75;47
N. Elvedi;21;Switzerland;Borussia Mönchengladbach;€11M;Right;Defensa;4;71;73;77;66;69;79
G. Moreno;32;Colombia;Shanghai Greenland Shenhua FC;€7M;Left;Centrocampista;10;78;76;74;74;72;43
J. Valdivia;34;Chile;Colo-Colo;€4.5M;Right;Centrocampista;10;78;67;69;77;57;46
A. Carroll;29;England;West Ham United;€9M;Left;Delantero;9;74;43;50;57;88;45
A. Pyatov;34;Ukraine;Shakhtar Donetsk;€3.6M;Right;Portero;30;12;44;44;56;35;23
T. Gutiérrez;33;Colombia;Junior FC;€5.5M;Right;Delantero;29;81;63;59;72;80;25
Álex Remiro;23;Spain;Athletic Club de Bilbao;€9M;Right;Portero;1;17;40;46;69;34;20
Wilson Eduardo;27;Portugal;SC Braga;€9.5M;Right;Delantero;7;78;78;81;73;59;24
Jorge Meré;21;Spain;1. FC Köln;€10.5M;Right;Defensa;22;69;69;68;67;75;79
M. Elneny;25;Egypt;Arsenal;€9M;Right;Centrocampista;17;76;58;60;65;73;76
D. Torres;28;Colombia;Deportivo Alavés;€7M;Right;Centrocampista;16;70;57;53;68;87;81
Y. Bounou;27;Morocco;Girona FC;€7.5M;Left;Portero;13;12;37;34;38;25;12
A. Prijovi?;28;Serbia;PAOK;€9M;Right;Delantero;9;75;74;72;54;69;31
A. Jahanbakhsh;24;Iran;Brighton & Hove Albion;€11.5M;Right;Centrocampista;16;79;79;83;76;68;42
J. Calleri;24;Argentina;Deportivo Alavés;€12M;Right;Delantero;12;75;71;72;72;65;37
Simão Acunha;30;Brazil;Atlético Mineiro;€8.5M;Right;Centrocampista;20;78;83;77;81;48;45
N. Müller;30;Germany;Eintracht Frankfurt;€8.5M;Right;Centrocampista;27;75;84;78;85;71;48
L. Ocampos;23;Argentina;Olympique de Marseille;€12M;Right;Centrocampista;5;76;78;79;77;83;67
J. Rodriguez;28;England;West Bromwich Albion;€9M;Right;Delantero;19;75;75;77;75;41;44
V. Ibiševi?;33;Bosnia Herzegovina;Hertha BSC;€5.5M;Right;Delantero;19;76;41;44;60;83;30
S. Rondón;28;Venezuela;Newcastle United;€9M;Right;Delantero;23;71;69;68;66;72;33
Victor Sánchez;30;Spain;RCD Espanyol;€6.5M;Right;Centrocampista;4;78;58;61;72;83;78
D. Suárez;30;Uruguay;Getafe CF;€6.5M;Right;Lateral;22;69;77;80;79;80;75
K. Huntelaar;34;Netherlands;Ajax;€4.7M;Right;Delantero;9;69;50;57;58;69;27
L. Dubois;23;France;Olympique Lyonnais;€10.5M;Right;Lateral;14;78;71;68;69;60;75
André Pinto;28;Portugal;Sporting CP;€7M;Right;Defensa;6;57;47;47;32;79;77
K. Lala;26;France;RC Strasbourg Alsace;€8.5M;Right;Centrocampista;27;77;78;80;67;79;76
O. K?vrak;30;Turkey;Trabzonspor;€5.5M;Right;Portero;1;26;60;60;67;30;25
A. Bertolacci;27;Italy;Milan;€9M;Left;Centrocampista;16;79;69;73;77;69;70
E. Giaccherini;33;Italy;Chievo Verona;€5.5M;Right;Centrocampista;17;80;80;67;85;66;66
A. Živkovi?;21;Serbia;SL Benfica;€12.5M;Left;Centrocampista;17;80;85;82;85;58;69
R. Ábila;28;Argentina;Boca Juniors;€9M;Right;Delantero;17;76;68;67;67;76;19
P. Diop;32;Senegal;SD Eibar;€5M;Right;Centrocampista;8;76;50;54;64;89;79
D. Garmash;28;Ukraine;Dynamo Kyiv;€9M;Right;Centrocampista;19;72;62;63;67;92;78
T. Chandler;28;United States;Eintracht Frankfurt;€7M;Right;Lateral;22;73;74;79;54;83;68
R. Klavan;32;Estonia;Cagliari;€5M;Left;Defensa;15;70;45;51;58;77;77
A. Miranchuk;22;Russia;Lokomotiv Moscow;€12M;Left;Centrocampista;15;79;71;75;77;43;36
D. Da Silva;30;France;Stade Rennais FC;€6.5M;Right;Defensa;3;69;57;68;60;82;78
D. Benaglio;34;Switzerland;AS Monaco;€3.6M;Right;Portero;16;22;42;44;44;38;22
T. Rincón;30;Venezuela;Torino;€8M;Right;Centrocampista;8;77;76;69;75;82;80
M. Pereira;34;Uruguay;FC Porto;€2.5M;Right;Lateral;2;75;70;69;70;86;78
C. Borges;30;Costa Rica;Göztepe SK;€6.5M;Right;Centrocampista;6;77;56;58;64;68;77
J. Sand;37;Argentina;Deportivo Cali;€3.2M;Right;Delantero;9;81;47;39;67;75;33
Markel Bergara;32;Spain;Getafe CF;€5M;Right;Centrocampista;5;69;64;32;60;79;82
Vágner Love;34;Brazil;Be?ikta? JK;€4.7M;Right;Delantero;99;75;76;73;77;72;40
B. Bourigeaud;24;France;Stade Rennais FC;€11.5M;Right;Centrocampista;14;77;73;70;70;72;71
R. Soriano;27;Italy;Torino;€9.5M;Right;Centrocampista;6;79;75;75;79;74;69
R. Sambueza;34;Argentina;Deportivo Toluca;€4.5M;Left;Centrocampista;14;80;69;71;69;86;60
Montoya;27;Spain;Brighton & Hove Albion;€8M;Right;Lateral;22;74;79;79;78;69;78
A. Poli;28;Italy;Bologna;€9M;Right;Centrocampista;16;80;73;75;75;70;74
C. Austin;28;England;Southampton;€9M;Right;Delantero;10;73;62;58;62;67;47
L. Tonelli;28;Italy;Sampdoria;€8.5M;Right;Defensa;26;58;69;71;72;85;78
M. Zárate;31;Argentina;Boca Juniors;€8M;Right;Delantero;19;84;80;75;88;66;38
J. Sancho;18;England;Borussia Dortmund;€14.5M;Right;Centrocampista;7;85;88;86;90;39;26
D. Basta;33;Serbia;Lazio;€3.4M;Right;Lateral;8;77;74;75;70;72;82
Marçal;29;Brazil;Olympique Lyonnais;€6.5M;Left;Lateral;20;76;79;77;75;76;79
Munir;22;Spain;FC Barcelona;€12.5M;Left;Delantero;19;80;78;80;78;48;22
J. McCarthy;27;Republic of Ireland;Everton;€7.5M;Right;Centrocampista;16;74;60;58;64;82;79
J. Aquino;28;Mexico;Tigres U.A.N.L.;€9M;Right;Centrocampista;20;77;91;88;91;59;34
H. Pérez;29;Paraguay;RCD Espanyol;€8.5M;Right;Centrocampista;17;79;78;76;75;85;43
Jô;31;Brazil;Nagoya Grampus;€8M;Left;Delantero;7;75;66;72;68;50;32
R. Gurtner;31;France;Amiens SC;€5.5M;Right;Portero;1;28;41;49;32;35;13
C. Sánchez;32;Colombia;West Ham United;€5M;Right;Centrocampista;15;74;69;66;64;80;79
M. Sissoko;28;France;Tottenham Hotspur;€9M;Right;Centrocampista;17;77;79;81;67;80;78
W. Anton;21;Germany;Hannover 96;€11M;Right;Defensa;31;70;54;73;62;76;78
E. Skhiri;23;Tunisia;Montpellier HSC;€10M;Right;Centrocampista;13;73;63;69;74;74;85
Rúben Vezo;24;Portugal;Valencia CF;€10.5M;Right;Defensa;3;64;68;68;66;75;80
Jorge Molina;36;Spain;Getafe CF;€3.2M;Right;Delantero;19;77;34;41;33;76;41
M. Hasebe;34;Japan;Eintracht Frankfurt;€2.7M;Right;Defensa;20;74;53;55;69;73;78
A. Schürrle;27;Germany;Fulham;€9.5M;Right;Centrocampista;14;77;79;78;74;71;41
O. Ighalo;29;Nigeria;Changchun Yatai FC;€9M;Right;Delantero;9;76;84;81;75;78;30
L. Acosta;30;Argentina;Club Atlético Lanús;€8.5M;Right;Delantero;7;78;92;93;91;73;42
V. Babacan;29;Turkey;Medipol Ba?ak?ehir FK;€7M;Right;Portero;1;19;49;61;58;29;27
R. Aguilar;25;France;Montpellier HSC;€9.5M;Right;Centrocampista;2;75;85;82;79;65;72
Yeray;23;Spain;Athletic Club de Bilbao;€10.5M;Right;Defensa;5;72;66;67;56;80;81
J. Defoe;35;England;Bournemouth;€4.1M;Right;Delantero;18;77;73;63;77;62;19
L. Schøne;32;Denmark;Ajax;€6.5M;Right;Centrocampista;19;81;58;52;68;65;77
C. Ünder;20;Turkey;Roma;€14.5M;Left;Centrocampista;17;81;83;80;84;27;29
M. Dabbur;26;Israel;FC Red Bull Salzburg;€11M;Right;Delantero;9;75;74;76;77;39;19
Roberto;32;Spain;RCD Espanyol;€5M;Right;Portero;1;31;45;48;68;29;24
Djaniny;27;Cape Verde;Al Ahli;€10.5M;Right;Delantero;21;78;78;85;76;55;47
Wallace;23;Brazil;Lazio;€10M;Right;Defensa;13;52;66;69;46;79;81
Pedro Obiang;26;Equatorial Guinea;West Ham United;€9M;Right;Centrocampista;14;76;64;66;68;71;76
D. Heintz;24;Germany;SC Freiburg;€9M;Left;Defensa;23;63;55;68;53;70;75
N. Mukiele;20;France;RB Leipzig;€12M;Right;Lateral;22;73;78;84;69;72;76
T. Vermaelen;32;Belgium;FC Barcelona;€5M;Left;Defensa;3;64;67;64;61;77;73
I. Abate;31;Italy;Milan;€6M;Right;Lateral;20;75;77;85;75;76;75
Diego Llorente;24;Spain;Real Sociedad;€10.5M;Right;Defensa;3;73;65;63;65;75;80
C. Wood;26;New Zealand;Burnley;€10.5M;Right;Delantero;9;74;68;75;65;74;40
Formosandrinho;26;Brazil;Botafogo;€9.5M;Right;Delantero;11;73;81;81;79;52;23
E. Pulgar;24;Chile;Bologna;€10M;Right;Centrocampista;13;78;67;67;68;76;72
V. Vasin;29;Russia;PFC CSKA Moscow;€7M;Right;Defensa;5;63;69;66;37;77;78
V. Grifo;25;Italy;TSG 1899 Hoffenheim;€11M;Right;Centrocampista;23;84;74;66;78;52;45
A. Turan;31;Turkey;Medipol Ba?ak?ehir FK;€7.5M;Right;Centrocampista;14;80;75;68;81;80;61
J. dos Santos;28;Mexico;LA Galaxy;€9M;Right;Centrocampista;8;79;74;68;74;72;67
D. Schwaab;29;Germany;PSV;€7M;Right;Defensa;5;70;65;72;63;69;77
M. Schmelzer;30;Germany;Borussia Dortmund;€6.5M;Left;Lateral;29;69;74;78;65;81;78
L. Spinazzola;25;Italy;Juventus;€11M;Right;Centrocampista;37;80;77;83;74;68;74
A. Dragovi?;27;Austria;Bayer 04 Leverkusen;€7.5M;Right;Defensa;3;66;65;67;68;74;80
D. Pröpper;26;Netherlands;Brighton & Hove Albion;€10.5M;Right;Centrocampista;6;82;64;62;70;76;62
R. Inglese;26;Italy;Parma;€10.5M;Right;Delantero;45;76;51;69;54;40;19
A. Marchesín;30;Argentina;Club América;€5.5M;Right;Portero;1;20;49;52;68;57;15
R. De Paul;24;Argentina;Udinese;€12M;Right;Centrocampista;16;81;78;74;78;56;28
C. Gentner;32;Germany;VfB Stuttgart;€6.5M;Right;Centrocampista;20;75;37;39;50;72;77
G. Murray;34;England;Brighton & Hove Albion;€4.7M;Right;Delantero;17;74;34;34;52;79;45
Rafael Carioca;29;Brazil;Tigres U.A.N.L.;€8.5M;Right;Centrocampista;5;77;74;76;75;78;78
A. McCarthy;28;England;Southampton;€7M;Right;Portero;1;17;58;56;35;35;22
L. Chichizola;28;Argentina;Getafe CF;€7M;Right;Portero;1;15;49;54;66;15;16
D. Zakaria;21;Switzerland;Borussia Mönchengladbach;€13M;Right;Centrocampista;17;79;74;86;67;88;77
G. Dzhikiya;24;Russia;Spartak Moscow;€10.5M;Left;Defensa;14;55;91;75;55;77;78
N. Castillo;25;Chile;SL Benfica;€12M;Right;Delantero;30;76;70;68;62;78;37
D. Origi;23;Belgium;Liverpool;€12M;Right;Delantero;27;74;76;79;72;69;28
O. Yoku?lu;24;Turkey;RC Celta;€10.5M;Right;Centrocampista;5;77;72;74;62;81;76
D. Cheryshev;27;Russia;Valencia CF;€9.5M;Left;Centrocampista;9;76;77;79;77;62;61
D. Selke;23;Germany;Hertha BSC;€12.5M;Right;Delantero;27;74;71;77;65;82;29
Wendell;24;Brazil;Bayer 04 Leverkusen;€9.5M;Left;Lateral;18;78;87;79;78;87;75
M. Layún;30;Mexico;Villarreal CF;€6.5M;Right;Centrocampista;19;76;76;76;72;72;77
Y. Sabaly;25;Senegal;FC Girondins de Bordeaux;€9M;Right;Lateral;20;74;74;77;78;67;77
P. Cutrone;20;Italy;Milan;€16M;Right;Delantero;63;76;75;77;69;60;14
F. Marchetti;35;Italy;Genoa;€2.1M;Left;Portero;1;20;55;50;60;36;22
W. Cyprien;23;France;OGC Nice;€12.5M;Right;Centrocampista;25;78;76;77;80;78;76
G. Paletta;32;Italy;Jiangsu Suning FC;€5M;Right;Defensa;29;52;54;34;34;79;81
F. Caicedo;29;Ecuador;Lazio;€9M;Left;Delantero;20;77;69;71;61;80;43
Jordi Masip;29;Spain;Real Valladolid CF;€6M;Right;Portero;1;25;57;64;70;21;16
B. Espinosa;28;Colombia;Girona FC;€7M;Right;Defensa;2;67;43;51;47;79;77
M. Benassi;23;Italy;Fiorentina;€11.5M;Right;Centrocampista;24;78;67;68;74;74;72
P. Jagielka;35;England;Everton;€2.1M;Right;Defensa;6;60;40;51;45;79;77
J. Kucka;31;Slovakia;Trabzonspor;€7.5M;Right;Centrocampista;33;75;66;65;72;86;78
R. Brady;26;Republic of Ireland;Burnley;€10.5M;Left;Centrocampista;12;76;79;78;74;58;66
A. Szymanowski;29;Argentina;CD Leganés;€8.5M;Left;Centrocampista;11;76;89;83;83;55;28
W. Reid;29;New Zealand;West Ham United;€7M;Right;Defensa;2;55;55;65;54;83;78
Cédric;26;Portugal;Southampton;€8.5M;Right;Lateral;21;76;79;78;74;75;74
R. Civelli;34;Argentina;Club Atlético Banfield;€2.7M;Right;Defensa;2;67;49;36;33;83;73
R. Loftus-Cheek;22;England;Chelsea;€13M;Right;Centrocampista;12;81;68;74;73;79;57
S. De Maio;31;France;Bologna;€6M;Right;Defensa;4;54;61;67;54;74;78
S. Brown;33;Scotland;Celtic;€3.6M;Right;Centrocampista;8;72;66;68;77;90;77
A. Mitrovi?;23;Serbia;Fulham;€12M;Right;Delantero;9;74;60;64;67;89;14
P. Skjelbred;31;Norway;Hertha BSC;€6M;Right;Centrocampista;3;79;66;55;77;79;81
D. Cvitanich;34;Argentina;Club Atlético Banfield;€4.7M;Right;Delantero;20;83;68;62;72;68;33
K. Lasagna;25;Italy;Udinese;€11.5M;Left;Delantero;9;79;89;88;81;40;30
R. Palacio;36;Argentina;Bologna;€3.2M;Right;Delantero;24;84;79;77;79;78;39
M. Wolf;23;Germany;Borussia Dortmund;€12M;Right;Centrocampista;27;78;83;84;68;73;64
E. Gigliotti;31;Argentina;Independiente;€8M;Right;Delantero;9;75;61;63;68;71;35
N. Jørgensen;27;Denmark;Feyenoord;€10.5M;Right;Delantero;9;77;75;73;65;60;31
Laguardia;28;Spain;Deportivo Alavés;€8M;Right;Defensa;5;58;54;63;50;89;76
J. Lukaku;23;Belgium;Lazio;€11.5M;Left;Centrocampista;5;80;89;93;78;74;77
J. Augustin;21;France;RB Leipzig;€13.5M;Right;Delantero;29;81;85;88;79;47;22
M. Diakhaby;21;France;Valencia CF;€11M;Right;Defensa;12;57;57;59;46;76;78
Douglas;35;Brazil;Vitória Guimarães;€2.1M;Right;Portero;1;20;33;41;44;38;20
N. Pej?inovi?;30;Serbia;Changchun Yatai FC;€6.5M;Right;Defensa;39;63;43;62;58;82;77
D. van de Beek;21;Netherlands;Ajax;€12.5M;Right;Centrocampista;17;78;66;65;70;68;72
Borja Iglesias;25;Spain;RCD Espanyol;€12M;Right;Delantero;7;75;65;69;61;42;20
G. Shibasaki;26;Japan;Getafe CF;€11M;Right;Centrocampista;10;79;69;67;76;65;74
W. Hughes;23;England;Watford;€12.5M;Left;Centrocampista;19;80;67;59;71;70;65
S. Boufal;24;Morocco;RC Celta;€11.5M;Right;Centrocampista;19;86;84;79;89;47;19
T. Kehrer;21;Germany;Paris Saint-Germain;€11M;Left;Lateral;4;64;74;76;69;80;75
M. Lang;27;Switzerland;Borussia Mönchengladbach;€8M;Right;Lateral;6;74;69;76;66;69;75
E. Gutiérrez;23;Mexico;PSV;€13M;Left;Centrocampista;3;77;78;76;69;60;77
